indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600519.SH,20240318,1708.26,0.2074,0.4745,0.88,34.2161,30.1422,11.0724,17.2918,15.3052,2.6353,2.6353,125619.78,125619.78,54913.6536,214591245.3828,214591245.3828
600519.SH,20240315,1717.49,0.142,0.3248,0.59,34.401,30.3051,11.1322,17.3853,15.3879,2.6211,2.6211,125619.78,125619.78,54913.6536,215750715.9522,215750715.9522
600519.SH,20240314,1716.63,0.1545,0.3534,0.63,34.3838,30.2899,11.1266,17.3765,15.3802,2.6224,2.6224,125619.78,125619.78,54913.6536,215642682.9414,215642682.9414
600519.SH,20240313,1727.45,0.211,0.4826,0.88,34.6005,30.4809,11.1968,17.4861,15.4771,2.606,2.606,125619.78,125619.78,54913.6536,217001888.961,217001888.961
600519.SH,20240312,1745.0,0.4317,0.9875,2.05,34.952,30.7905,11.3105,17.6637,15.6344,2.5798,2.5798,125619.78,125619.78,54913.6536,219206516.1,219206516.1
600519.SH,20240311,1694.49,0.238,0.5444,1.16,33.9403,29.8993,10.9831,17.1524,15.1818,2.6567,2.6567,125619.78,125619.78,54913.6536,212861461.0122,212861461.0122
600519.SH,20240308,1671.43,0.1764,0.4035,0.83,33.4784,29.4924,10.8337,16.919,14.9752,2.6933,2.6933,125619.78,125619.78,54913.6536,209964668.8854,209964668.8854
600519.SH,20240307,1683.63,0.1719,0.3933,0.79,33.7228,29.7077,10.9127,17.0425,15.0845,2.6738,2.6738,125619.78,125619.78,54913.6536,211497230.2014,211497230.2014
600519.SH,20240306,1680.55,0.1763,0.4032,0.76,33.6611,29.6533,10.8928,17.0113,15.0569,2.6787,2.6787,125619.78,125619.78,54913.6536,211110321.279,211110321.279
600519.SH,20240305,1695.1,0.2885,0.6599,1.37,33.9525,29.91,10.9871,17.1586,15.1873,2.6557,2.6557,125619.78,125619.78,54913.6536,212938089.078,212938089.078
600519.SH,20240304,1676.3,0.2108,0.4823,1.0,33.576,29.5783,10.8652,16.9683,15.0189,2.6855,2.6855,125619.78,125619.78,54913.6536,210576437.214,210576437.214
600519.SH,20240301,1685.06,0.2139,0.4893,1.01,33.7514,29.7329,10.922,17.057,15.0973,2.6715,2.6715,125619.78,125619.78,54913.6536,211676866.4868,211676866.4868
