macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,5645.88,5686.67,5700.7,5642.28,5604.14,82.53,1.47,1.04,3010090.0,20250502
SPX,5625.14,5604.14,5658.91,5597.35,5569.06,35.08,0.63,1.11,3224921.0,20250501
SPX,5499.44,5569.06,5581.84,5433.24,5560.83,8.23,0.15,2.67,3742261.0,20250430
SPX,5508.87,5560.83,5571.95,5505.7,5528.75,32.08,0.58,1.2,2812451.0,20250429
SPX,5529.22,5528.75,5553.66,5468.64,5525.21,3.54,0.06,1.54,2767087.0,20250428
SPX,5489.73,5525.21,5528.11,5455.86,5484.77,40.44,0.74,1.32,2943164.0,20250425
SPX,5381.38,5484.77,5489.4,5371.96,5375.86,108.91,2.03,2.18,3138911.0,20250424
SPX,5395.92,5375.86,5469.69,5356.17,5287.76,88.1,1.67,2.15,3535896.0,20250423
SPX,5207.67,5287.76,5309.61,5207.67,5158.2,129.56,2.51,1.98,3049426.0,20250422
SPX,5232.94,5158.2,5232.94,5101.63,5282.7,-124.5,-2.36,2.49,2953935.0,20250421
SPX,5305.45,5282.7,5328.31,5255.58,5275.7,7.0,0.13,1.38,3140857.0,20250417
SPX,5335.75,5275.7,5367.24,5220.79,5396.63,-120.93,-2.24,2.71,3337000.0,20250416
SPX,5411.99,5396.63,5450.41,5386.44,5405.97,-9.34,-0.17,1.18,2806101.0,20250415
SPX,5441.96,5405.97,5459.46,5358.02,5363.36,42.61,0.79,1.89,3281233.0,20250414
SPX,5255.56,5363.36,5381.46,5220.77,5268.05,95.31,1.81,3.05,3746061.0,20250411
SPX,5353.15,5268.05,5353.15,5115.27,5456.9,-188.85,-3.46,4.36,4796068.0,20250410
SPX,4965.28,5456.9,5481.34,4948.43,4982.77,474.13,9.52,10.7,6666213.0,20250409
SPX,5193.57,4982.77,5267.47,4910.42,5062.25,-79.48,-1.57,7.05,5074219.0,20250408
SPX,4953.79,5062.25,5246.57,4835.04,5074.08,-11.83,-0.23,8.11,6239428.0,20250407
SPX,5292.14,5074.08,5292.14,5069.9,5396.52,-322.44,-5.97,4.12,6052894.0,20250404
SPX,5492.74,5396.52,5499.53,5390.83,5670.97,-274.45,-4.84,1.92,4996896.0,20250403
SPX,5580.76,5670.97,5695.31,5571.48,5633.07,37.9,0.67,2.2,2742941.0,20250402
SPX,5597.53,5633.07,5650.57,5558.52,5611.85,21.22,0.38,1.64,2781333.0,20250401
SPX,5527.91,5611.85,5627.56,5488.73,5580.94,30.91,0.55,2.49,3675244.0,20250331
SPX,5679.2,5580.94,5685.89,5572.42,5693.31,-112.37,-1.97,1.99,2837703.0,20250328
SPX,5695.64,5693.31,5732.28,5670.94,5712.2,-18.89,-0.33,1.07,2824605.0,20250327
SPX,5771.66,5712.2,5783.62,5694.41,5776.65,-64.45,-1.12,1.54,2865457.0,20250326
SPX,5775.96,5776.65,5786.95,5760.42,5767.57,9.08,0.16,0.46,2675650.0,20250325
SPX,5718.08,5767.57,5775.14,5718.08,5667.56,100.01,1.76,1.01,3039852.0,20250324
SPX,5630.73,5667.56,5670.84,5603.1,5662.89,4.67,0.08,1.2,6468496.0,20250321
SPX,5646.92,5662.89,5711.15,5632.33,5675.29,-12.4,-0.22,1.39,2841249.0,20250320
SPX,5632.37,5675.29,5715.33,5622.2,5614.66,60.63,1.08,1.66,3021919.0,20250319
SPX,5654.53,5614.66,5654.53,5597.76,5675.12,-60.46,-1.07,1.0,2895841.0,20250318
SPX,5635.6,5675.12,5703.52,5631.12,5638.94,36.18,0.64,1.28,2983958.0,20250317
SPX,5563.85,5638.94,5645.27,5563.85,5521.52,117.42,2.13,1.47,3011969.0,20250314
SPX,5594.45,5521.52,5597.78,5504.65,5599.3,-77.78,-1.39,1.66,3323485.0,20250313
SPX,5624.84,5599.3,5642.19,5546.09,5572.07,27.23,0.49,1.72,3450862.0,20250312
SPX,5603.65,5572.07,5636.3,5528.41,5614.56,-42.49,-0.76,1.92,4112822.0,20250311
SPX,5705.37,5614.56,5705.37,5564.02,5770.2,-155.64,-2.7,2.45,4333777.0,20250310
SPX,5726.01,5770.2,5783.01,5666.29,5738.52,31.68,0.55,2.03,3959743.0,20250307
SPX,5785.87,5738.52,5812.08,5711.64,5842.63,-104.11,-1.78,1.72,3339781.0,20250306
SPX,5781.36,5842.63,5860.59,5742.35,5778.15,64.48,1.12,2.05,3325532.0,20250305
SPX,5811.98,5778.15,5865.08,5732.59,5849.72,-71.57,-1.22,2.26,4246586.0,20250304
SPX,5968.33,5849.72,5986.09,5810.91,5954.5,-104.78,-1.76,2.94,3603000.0,20250303
SPX,5856.74,5954.5,5959.4,5837.66,5861.57,92.93,1.59,2.08,4316693.0,20250228
SPX,5981.88,5861.57,5993.69,5858.78,5956.06,-94.49,-1.59,2.27,3331942.0,20250227
SPX,5970.87,5956.06,6009.82,5932.69,5955.25,0.81,0.01,1.3,2964610.0,20250226
SPX,5982.73,5955.25,5992.65,5908.49,5983.25,-28.0,-0.47,1.41,3485187.0,20250225
SPX,6026.69,5983.25,6043.65,5977.83,6013.13,-29.88,-0.5,1.09,3282444.0,20250224
SPX,6114.1,6013.13,6114.82,6008.56,6117.52,-104.39,-1.71,1.74,3386529.0,20250221
SPX,6134.5,6117.52,6134.5,6084.59,6144.15,-26.63,-0.43,0.81,2957559.0,20250220
SPX,6117.76,6144.15,6147.43,6111.15,6129.58,14.57,0.24,0.59,3043365.0,20250219
SPX,6121.6,6129.58,6129.63,6099.51,6114.63,14.95,0.24,0.49,3260380.0,20250218
SPX,6115.52,6114.63,6127.47,6107.62,6115.07,-0.44,-0.01,0.32,2801121.0,20250214
SPX,6060.59,6115.07,6116.91,6050.95,6051.97,63.1,1.04,1.09,2949594.0,20250213
SPX,6025.08,6051.97,6063.0,6003.0,6068.5,-16.53,-0.27,0.99,2878167.0,20250212
SPX,6049.32,6068.5,6076.28,6042.34,6066.44,2.06,0.03,0.56,2748396.0,20250211
SPX,6046.4,6066.44,6073.38,6044.84,6025.99,40.45,0.67,0.47,2743606.0,20250210
SPX,6083.13,6025.99,6101.28,6019.96,6083.57,-57.58,-0.95,1.34,2940570.0,20250207
SPX,6072.22,6083.57,6084.03,6046.83,6061.48,22.09,0.36,0.61,3084795.0,20250206
SPX,6020.45,6061.48,6062.86,6007.06,6037.88,23.6,0.39,0.92,3147723.0,20250205
SPX,5998.14,6037.88,6042.48,5990.87,5994.57,43.31,0.72,0.86,3054209.0,20250204
SPX,5969.65,5994.57,6022.13,5923.93,6040.53,-45.96,-0.76,1.63,3289468.0,20250203
SPX,6096.79,6040.53,6120.91,6030.93,6071.17,-30.64,-0.5,1.48,3517384.0,20250131
SPX,6050.75,6071.17,6086.64,6027.46,6039.31,31.86,0.53,0.98,3068266.0,20250130
SPX,6057.7,6039.31,6062.83,6012.96,6067.7,-28.39,-0.47,0.82,2830742.0,20250129
SPX,6026.97,6067.7,6074.54,5994.63,6012.28,55.42,0.92,1.33,3319837.0,20250128
SPX,5969.04,6012.28,6017.17,5962.92,6101.24,-88.96,-1.46,0.89,4076897.0,20250127
SPX,6121.43,6101.24,6128.18,6088.74,6118.71,-17.47,-0.29,0.64,2507792.0,20250124
SPX,6076.32,6118.71,6118.73,6074.67,6086.37,32.34,0.53,0.72,2474451.0,20250123
SPX,6081.39,6086.37,6100.81,6076.13,6049.24,37.13,0.61,0.41,2857125.0,20250122
SPX,6014.12,6049.24,6051.51,6006.88,5996.66,52.58,0.88,0.74,3041263.0,20250121
SPX,5995.4,5996.66,6014.96,5978.44,5937.34,59.32,1.0,0.62,2984862.0,20250117
SPX,5963.61,5937.34,5964.69,5930.72,5949.91,-12.57,-0.21,0.57,2515872.0,20250116
SPX,5905.21,5949.91,5960.61,5905.21,5842.91,107.0,1.83,0.95,2740995.0,20250115
SPX,5859.27,5842.91,5871.92,5805.42,5836.22,6.69,0.11,1.14,2434957.0,20250114
SPX,5782.02,5836.22,5838.61,5773.31,5827.04,9.18,0.16,1.12,2721451.0,20250113
SPX,5890.35,5827.04,5890.35,5807.78,5918.25,-91.21,-1.54,1.4,3055778.0,20250110
SPX,5910.66,5918.25,5927.89,5874.78,5909.03,9.22,0.16,0.9,2502210.0,20250108
SPX,5993.26,5909.03,6000.68,5890.68,5975.38,-66.35,-1.11,1.84,2676438.0,20250107
SPX,5982.81,5975.38,6021.04,5960.01,5942.47,32.91,0.55,1.03,2802830.0,20250106
SPX,5891.07,5942.47,5949.34,5888.66,5868.55,73.92,1.26,1.03,2190353.0,20250103
SPX,5903.26,5868.55,5935.09,5829.53,5881.63,-13.08,-0.22,1.79,2210071.0,20250102
SPX,5919.74,5881.63,5929.74,5868.86,5906.94,-25.31,-0.43,1.03,1785852.0,20241231
SPX,5920.67,5906.94,5940.79,5869.16,5970.84,-63.9,-1.07,1.2,1927546.0,20241230
SPX,6006.17,5970.84,6006.17,5932.95,6037.59,-66.75,-1.11,1.21,1807641.0,20241227
SPX,6024.97,6037.59,6049.75,6007.37,6040.04,-2.45,-0.04,0.7,1482485.0,20241226
